_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.21886797807694638	-0.22851640049342173	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.07301576302770944	BOW
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.2426749372895161	-0.8041135754599139	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.11287519989018797	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18928318968983404	-0.22069612553512205	NA	NA	nobound	598	all	10_10	1	weight	FOC	314	nav	4_4	218	heffen	0.07349089669442684	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1848515554622871	-0.23953133621993528	NA	NA	nobound	598	all	10_10	1	weight	FOC	598	all	4_4	218	heffen	0.07826959872496064	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.9089794619720237	0.003059040559187283	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	nav	4_4	218	heffen	0.13005610820962346	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.9738014426683914	-0.6774492164179258	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	all	4_4	218	heffen	0.13788461140606048	BOW
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4572652404781492	-0.14803927945273013	NA	NA	nobound	598	all	10_10	1	selection	FOC	314	nav	4_4	218	heffen	0.08282378476967676	BOW
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.4690140889946012	-0.16473316550121142	NA	NA	nobound	598	all	10_10	1	selection	FOC	598	all	4_4	218	heffen	0.08741479287116596	BOW
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.3689230181604466	-0.02481349889392511	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.12821759056929016	BOW
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-2.1990511179306886	-0.5592452752360614	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	all	4_4	218	heffen	0.1327141501769042	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.0283475910873576	-0.21306225665311962	NA	NA	nobound	1325	all	10_10	1	no	FOC	702	nav	4_4	218	heffen	0.09961228838492822	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-1.1163175658694193	-0.2544196602637228	NA	NA	nobound	1325	all	10_10	1	no	FOC	1325	all	4_4	218	heffen	0.10859937995300391	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.1599048697577366	-0.2692274152917485	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	nav	4_4	217	heffen	0.08398110129346426	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.33374371874408293	-0.6645615468051156	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	all	4_4	217	heffen	0.14068230855678446	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.14382933739568265	-0.24525641155149153	NA	NA	nobound	322	lex	5_5	1	weight	FOC	221	nav	4_4	217	heffen	0.08589127868837503	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.14431365882019795	-0.24995277451508152	NA	NA	nobound	322	lex	5_5	1	weight	FOC	322	all	4_4	217	heffen	0.09279140297277808	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.1763393252595265	-0.4312014994974169	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	nav	4_4	217	heffen	0.11203357961870504	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.30915091663859107	-0.8244414304227663	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	all	4_4	217	heffen	0.15883007151253647	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.11765427968021343	-0.2868146636213211	NA	NA	nobound	322	lex	5_5	1	selection	FOC	221	nav	4_4	217	heffen	0.09495461950085075	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.10959372102251	-0.2954441503959797	NA	NA	nobound	322	lex	5_5	1	selection	FOC	322	all	4_4	217	heffen	0.09902814122919981	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.09530138400192409	-0.6123222707575194	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.10860631981015197	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.18916049491672735	-1.1265477082972024	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	0.13844399385523432	BOW
