_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.09895428449723571	-0.32740630984900293	1	5000	5000	301	staal	NA	NA	bound	411	lex	3_3	no	all	4_4	0.21385688256028257	BOW	all_5000	c2	0
staal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.15954291759019243	0.03443493794425954	1	FOC	318	301	staal	NA	NA	bound	411	lex	3_3	no	nav	4_4	0.14393930762825097	BOW	nav_FOC	c6	0
staal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17011991862554313	0.03617287757458652	1	FOC	411	301	staal	NA	NA	bound	411	lex	3_3	no	all	4_4	0.1377152578960587	BOW	all_FOC	c6	0
staal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07683172269001438	0.09748925467032975	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	weight	nav	4_4	0.10135108876394393	BOW	nav_5000	c6	0
staal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.2109585045909222	-0.09261329310562817	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	weight	all	4_4	0.17836655476116386	BOW	all_5000	c4	0
staal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.11610371571855803	0.07711404269859466	1	FOC	247	309	staal	NA	NA	bound	415	all	3_3	weight	nav	4_4	0.14957680540588572	BOW	nav_FOC	c6	0
staal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.10505844131874971	0.06522189322570249	1	FOC	415	309	staal	NA	NA	bound	415	all	3_3	weight	all	4_4	0.14664326730891236	BOW	all_FOC	c6	0
staal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.09415600116001716	0.08009713230298814	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	selection	nav	4_4	0.18334220089266573	BOW	nav_5000	c7	0
staal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.4114949924111143	-0.016476259264116565	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	selection	all	4_4	0.16804979492249844	BOW	all_5000	c5	0
staal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.05947119915454609	0.04959340801721825	1	FOC	247	309	staal	NA	NA	bound	415	all	3_3	selection	nav	4_4	0.17448216496469698	BOW	nav_FOC	c6	0
staal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.0373660981243972	0.034912226547850415	1	FOC	415	309	staal	NA	NA	bound	415	all	3_3	selection	all	4_4	0.18120616839721593	BOW	all_FOC	c6	0
staal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.06690892639264188	0.060597968188086326	1	5000	5000	310	staal	NA	NA	bound	542	all	3_3	no	nav	4_4	0.1744069239363143	BOW	nav_5000	c7	0
staal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.37208449893320916	-0.06494467518727184	1	5000	5000	310	staal	NA	NA	bound	542	all	3_3	no	all	4_4	0.1895758662861288	BOW	all_5000	c5	0
