pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
-0.21742435	1	0.6822469	1.0	26768	Fortuyn/name
4.1019735	1			349	Fosse/name
1.3524555	1			5463	Francisco/name
2.3540883	1			2004	Franck/name
5.154872	1			124	Frankenheimer/name
-0.59519786	2			76868	Frankrijk/name
0.25904205	6			98844	Frans/adj
0.4153392	2	0.63068765	1.0	28106	Frans/name
2.954768	3	2.7669046	1.0	3315	Franz/name
2.2527049	1	3.1620777	1.0	2230	Frederic/name
9.943196	1			1	FreeZone/name
9.943196	1			1	Freelance_choreograaf/noun
2.918859	1			1145	Freeman/name
2.7369676	1			1377	French/name
2.9889872	1			1067	Freriks/name
2.527239	1			1706	Freya/name
1.8615205	1			3283	Fries/noun
1.3115948	1			5772	Frits/name
7.8637547	1			8	Fruitt(h)ree/name
5.361807	1			104	Fun/noun
4.7832794	1	5.6992993	1.0	176	Funky/name
5.960715	1			67	Fusie/name
4.7372684	2			373	Futura/name
8.033654	4	8.259966	2.0	27	Futura/noun
8.844584	1			3	Futureheads/name
6.334985	1			37	G.T./name
9.943196	1			1	GAK-kantoor/name
4.942275	1	5.8528543	1.0	152	Galicische/adj
3.6271155	1			563	Gardiner/name
0.7394411	3	1.2389772	2.0	30731	Geert/name
3.7553432	1			502	Gemeente/name
-0.68969303	2			86057	Gent/name
-0.12788384	1			24287	Gents/adj
0.5386595	2			24917	George/name
0.84044135	1			9183	Georges/name
4.3680053	1			270	Gergiev/name
1.6859924	1	2.591523	1.0	3965	Gerhard/name
7.221901	1			16	Germann/name
6.0951786	1			47	Germans/name
0.8362131	1	1.7337017	1.0	9359	Gerrit/name
1.2849813	2	1.4903985	1.0	12122	Gert/name
2.7897928	1	3.7011306	1.0	1300	Get/name
1.743801	1	2.651648	1.0	3707	Geus/name
4.911126	1			156	Ghosts/name
4.951744	1	5.857033	1.0	153	Gimme/name
2.4509656	1	3.3581266	1.0	1840	Girl/name
9.943196	1			1	Glissando's/noun
7.0227265	1	7.938151	1.0	19	Godschalk/name
2.3274794	4	1.8488626	1.0	8280	Gogh/name
6.093049	1			47	GoldenEye/name
1.2500185	1	2.1600416	1.0	6096	Golf/name
2.672559	3	3.1744294	2.0	4408	Goor/name
2.4117246	1			1923	Goran/name
2.0216427	1			2804	Gordon/name
4.9616466	1			148	Gosschalk/name
2.3364115	1	3.23822	1.0	2074	Gouda/name
3.2494392	1			818	Graef/name
6.1808343	1	7.081311	1.0	44	Grahams/det
5.381456	1			97	Grard/name
6.25682	1			41	Gress/name
9.943196	1			1	Gress/noun
1.3889291	1			5260	Griek/noun
0.43034333	1			13810	Grieks/adj
1.6611056	1			4066	Groenen/name
8.151437	1			6	Grohl/noun
0.71957225	2			20921	Groningen/name
2.9195712	1			1153	Groninger/noun
1.6244787	1			4244	Gronings/adj
1.3456453	2	2.2544343	2.0	11051	Groot/name
-0.25653076	1			27475	Grote/name
8.556902	1			4	Grudge/name
5.8128414	1			63	Grünewald/name
1.7165294	1	2.6214466	1.0	3887	Guus/name
-0.8153625	1			48237	Haag/name
1.2838659	2	1.4961667	1.0	11853	Haags/adj
2.2114193	1			2319	Haagse/name
2.5193894	1			1724	Haarhuis/name
5.7645874	2	5.978907	1.0	133	Hadid/name
2.788425	1	3.6979353	1.0	1308	Hagen/name
9.943196	1	10.862656	1.0	1	Haino/noun
7.304139	1			14	Hakhoff/name
1.3502375	1	2.257887	1.0	5487	Hall/name
3.6498697	1			549	Hals/name
9.943196	1			1	Hamerpacht/name
1.9582229	1	2.865539	1.0	3005	Han/name
7.745972	1			9	Hanau/noun
5.9116144	1			58	Handy/name
0.94945616	5			41463	Hans/name
3.5488536	1			608	Harnoncourt/name
4.6037374	1			211	Hartmann/name
6.3458843	1			37	Hartung/name
9.943196	1			1	Heads-periode/name
4.251655	1			299	Heads/name
9.943196	1	10.862656	1.0	1	Heads_gevoel/noun
6.775614	1			24	Hedge/name
6.8612866	1			22	Heerenberg/name
3.8284087	1			462	Heijne/name
2.4372919	1			1858	Hema/name
4.5614576	1	5.4758697	1.0	220	Hempel/name
5.625042	1			76	Henryk/name
3.9528575	1			408	Herbie/name
0.2988554	1			15747	Hermans/name
6.7777214	1	7.684602	1.0	24	Hersteld/name
0.69067466	4	0.9005633	2.0	42799	Het/name
6.0793138	1			49	Hieke/name
9.25005	1			2	Highlanders/adj
5.089215	1			130	Hillenius/name
3.354339	1	4.2627854	1.0	739	Himalaya/name
0.92258304	1			8371	Hitler/name
3.9209602	1			418	Hockney/name
7.6406116	1	8.560071	1.0	10	Hoftheater/name
5.953287	1			56	Hog/name
0.37968484	1			14651	Holland/name
1.9891403	1	2.9009805	1.0	2888	Hollander/noun
1.5400739	2	1.7580371	1.0	9059	Hollands/adj
4.043025	1	4.955592	1.0	371	Hollands/noun
4.9926653	1			144	Holle/name
1.6196913	2	1.835022	1.0	8427	Hollywood/name
3.0353413	1			1010	Holst/name
4.3546376	1	5.26516	1.0	271	Homer/name
2.944215	3	3.4480076	2.0	3374	Honda/name
2.727883	1			1394	Hoofddorp/name
7.80313	2	8.029443	1.0	17	Horbury/name
1.6751059	1			4044	Horst/name
2.6717708	1			1457	Hot/name
6.7283287	1			25	Hotter/name
7.745972	1	8.665431	1.0	9	Hottest/name
1.5156546	1			4637	House/name
2.6631193	1	3.569638	1.0	1482	Houten/name
5.4378467	1	6.347684	1.0	92	Howlin/noun
3.155577	1	4.065832	1.0	900	Hudson/name
2.5757406	1	3.4845064	1.0	1614	Hugh/name
0.043152377	1	0.95234156	1.0	20329	Huis/name
4.3896556	1			263	Humo's/name
7.745972	1			9	Humoreske/noun
7.9972863	1			7	Hutten/det
6.509209	1			31	Hybert/name
4.462141	6	4.2684135	2.0	1495	Hyundai/name
0.07345707	1			19610	I/name
2.5283225	1			1693	IJburg/name
0.7523397	1	1.6596296	1.0	10053	Iers/adj
2.3879716	2			3896	Igor/name
3.2371902	1			829	Ik/name
9.943196	1			1	Ilove/name
4.0622444	1			365	Image/name
8.556902	1			4	Imanova/name
3.479777	1	4.390696	1.0	651	Imperial/name
1.1287398	1	2.0306518	1.0	6995	Inge/name
6.664167	1			31	Ingez/noun
8.844584	1	9.764044	1.0	3	Interrogation/name
7.6406116	1	8.560071	1.0	10	Invoke/noun
3.1519752	1			910	Irakees/adj
9.943196	1			1	Isenheimer/noun
3.7592537	1			492	Isolde/name
6.0452724	1			50	Issues/name
-0.84292054	1	0.06308529	1.0	49706	Italiaans/adj
3.2672472	1			810	Ives/name
5.552458	1			81	Izoard/name
1.6263951	2			8363	Jackson/name
0.10669313	1			19128	Jacques/name
5.8818917	1			59	Jaki/name
2.919215	1			1141	Jam/name
2.7377841	1	3.6464052	1.0	1373	Jamaica/name
0.31604892	1	1.2266556	1.0	15435	James/name
-1.6626873	1	-0.7550598	1.0	112712	Jan/name
9.25005	1			2	Janaceck/noun
0.62352204	1	1.5314593	1.0	11417	Janssen/name
1.0680492	1			7273	Japanner/noun
0.7968437	3	0.60454476	1.0	28973	Japans/adj
3.5421917	1			612	Japans/noun
4.3752337	1	5.288128	1.0	265	Jardin/name
2.0927618	1			2617	Jason/name
4.335925	1			279	Jaxx/name
1.5221068	1	2.4303944	1.0	4641	Jean-Luc/name
0.23508231	1	1.1442636	1.0	16784	Jean/name
4.0966134	1	5.0083003	1.0	351	Jeep/name
0.5558026	1	1.4620566	1.0	12269	Jef/name
1.8592663	1			3287	Jeff/name
7.9972863	1			7	Jehoda/name
2.8893516	1			1185	Jelena/name
5.6826315	1			74	Jippes/name
1.1529388	2			13545	Jo/name
6.9651194	1	7.8731933	1.0	20	Joan/det
1.8376173	1			3546	Job/name
1.1644393	1	2.0749967	1.0	6604	Joe/name
-0.21126181	2	0.0020618832	1.0	52925	Johan/name
1.4620119	10			49311	John/name
0.9528297	1			8195	Johnny/name
6.807702	1	7.7271614	1.0	23	Jolles/name
0.5454807	1			12284	Jones/name
0.06886746	1	0.9750372	1.0	19942	Jong/name
3.754214	1			494	Jongerius/name
2.8261533	1			1259	Jonker/name
2.6522899	1			1519	Joods/name
