_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.21620672124269186	-0.12777730827228934	NA	NA	nobound	319	lex	5_5	1	selection	all_5000	5000	4_4	227	herstellen	0.2553841757803988	BOW	c2	0
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1053265277323557	0.058297703218955395	NA	NA	nobound	319	lex	5_5	1	selection	nav_FOC	219	4_4	227	herstellen	0.25445699486441264	BOW	c1	1
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.11166043343150228	0.04843417865599733	NA	NA	nobound	319	lex	5_5	1	selection	all_FOC	319	4_4	227	herstellen	0.251303141869588	BOW	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.19514495602576343	0.06211602137725234	NA	NA	nobound	556	lex	5_5	1	no	nav_5000	5000	4_4	238	herstellen	0.2618004278905816	BOW	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.330186609449369	-0.20258928811307161	NA	NA	nobound	556	lex	5_5	1	no	all_5000	5000	4_4	238	herstellen	0.24743490970609008	BOW	c2	0
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.14064329947842016	0.02945468203408682	NA	NA	nobound	556	lex	5_5	1	no	nav_FOC	401	4_4	238	herstellen	0.2715084363618995	BOW	c1	0
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.14703098821302127	0.023197558111669493	NA	NA	nobound	556	lex	5_5	1	no	all_FOC	556	4_4	238	herstellen	0.26255785449806557	BOW	c1	0
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.029246403716310303	0.17723485029162991	NA	NA	nobound	441	all	5_5	1	weight	nav_5000	5000	4_4	239	herstellen	0.24120301402480482	BOW	c4	0
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.08752492991943027	-0.13005009769463752	NA	NA	nobound	441	all	5_5	1	weight	all_5000	5000	4_4	239	herstellen	0.2610063479048645	BOW	c2	0
herstellen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0029377185576971053	0.12630249915299965	NA	NA	nobound	441	all	5_5	1	weight	nav_FOC	219	4_4	239	herstellen	0.23803468137942915	BOW	c4	0
