_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.3112315887915158	0.17488209237255445	NA	NA	bound	411	all	3_3	1	no	5000	5000	all	4_4	239	herstellen	0.2507030295123237	BOW
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.09003119543457279	0.0821031138120108	NA	NA	bound	411	all	3_3	1	no	FOC	202	nav	4_4	239	herstellen	0.2602884570743501	BOW
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.07799356401935412	0.11244105861228354	NA	NA	bound	411	all	3_3	1	no	FOC	411	all	4_4	239	herstellen	0.2510250112182709	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16531531091164867	-0.061120988265306105	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	0.25206163684613264	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.18973613750314633	-0.15119709154852387	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	all	4_4	239	herstellen	0.26055386404182507	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16006795777301977	-0.018911528035215258	NA	NA	nobound	451	lex	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	0.2376433584652768	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1599825632160089	-0.015327395529235052	NA	NA	nobound	451	lex	10_10	1	weight	FOC	451	all	4_4	239	herstellen	0.23780672863438687	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3253130347561455	0.07742474285401794	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	0.26313916294724227	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2901393044936198	0.059446368841639605	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	all	4_4	239	herstellen	0.2513838196719211	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.22507652366714956	0.09893265074425513	NA	NA	nobound	451	lex	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	0.24748799569371163	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2372919383869159	0.10524264620248332	NA	NA	nobound	451	lex	10_10	1	selection	FOC	451	all	4_4	239	herstellen	0.24636263959805038	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2940990142996758	0.2144675361871523	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	nav	4_4	239	herstellen	0.2594281252860941	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.32997575371853216	0.3023420408750527	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	all	4_4	239	herstellen	0.22954147050582366	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.24386976863270968	0.21105432141495423	NA	NA	nobound	1061	lex	10_10	1	no	FOC	769	nav	4_4	239	herstellen	0.25576474407862654	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2479323850115965	0.2172237267619791	NA	NA	nobound	1061	lex	10_10	1	no	FOC	1061	all	4_4	239	herstellen	0.2517387430435809	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.018914612097179893	-0.08270755863909443	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	0.2289404860491947	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.10222867719763327	-0.1730358131448929	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	all	4_4	239	herstellen	0.24490534560301222	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03961380925389452	-0.025272865766381408	NA	NA	nobound	628	all	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	0.21494762613772858	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.03809625496899937	-0.011954408051141558	NA	NA	nobound	628	all	10_10	1	weight	FOC	628	all	4_4	239	herstellen	0.21588264967845572	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.08416190606310155	0.328799831319303	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	0.2610022122465593	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.11433783050402994	0.4586282114667056	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	all	4_4	239	herstellen	0.2337079412137461	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.03767718760758926	0.24183344572619592	NA	NA	nobound	628	all	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	0.24543407849634039	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.035173639461363176	0.26293841395629175	NA	NA	nobound	628	all	10_10	1	selection	FOC	628	all	4_4	239	herstellen	0.23480742364477758	BOW
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.02884120296222671	0.3911079573585486	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	nav	4_4	239	herstellen	0.26888651620467313	BOW
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.051686044801537635	0.5074070418875656	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	all	4_4	239	herstellen	0.22507659431837237	BOW
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.08342843897174217	0.3560427576264809	NA	NA	nobound	1477	all	10_10	1	no	FOC	769	nav	4_4	239	herstellen	0.23879674522212221	BOW
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.09373370055561873	0.4007695065603806	NA	NA	nobound	1477	all	10_10	1	no	FOC	1477	all	4_4	239	herstellen	0.2222863425954437	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14102991404976153	-0.07616669365282389	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	nav	4_4	227	herstellen	0.26058677019991394	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.14693520411639746	-0.13675056648920683	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	all	4_4	227	herstellen	0.2629835886523923	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1295356977489242	-0.04450057095858551	NA	NA	nobound	319	lex	5_5	1	weight	FOC	219	nav	4_4	227	herstellen	0.2522883828571592	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.13290613919500688	-0.04075115488779906	NA	NA	nobound	319	lex	5_5	1	weight	FOC	319	all	4_4	227	herstellen	0.251754726390885	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.26041170453633844	-0.004307762265673894	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	nav	4_4	227	herstellen	0.2535361767122145	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.21891719308547908	-0.031702518988565104	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	all	4_4	227	herstellen	0.2553841757803988	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18260662761320803	0.01970878538534495	NA	NA	nobound	319	lex	5_5	1	selection	FOC	219	nav	4_4	227	herstellen	0.25445699486441264	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.19163748123730381	0.022069958979208996	NA	NA	nobound	319	lex	5_5	1	selection	FOC	319	all	4_4	227	herstellen	0.251303141869588	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.29003027963568634	0.0839380425604304	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	nav	4_4	238	herstellen	0.2618004278905816	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.34330546536091444	0.10976716225304091	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	all	4_4	238	herstellen	0.24743490970609008	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22272232364649078	0.08991153570498084	NA	NA	nobound	556	lex	5_5	1	no	FOC	401	nav	4_4	238	herstellen	0.2715084363618995	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2300139624083682	0.09206985299732037	NA	NA	nobound	556	lex	5_5	1	no	FOC	556	all	4_4	238	herstellen	0.26255785449806557	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.02547485574852231	-0.09424026930201936	NA	NA	nobound	441	all	5_5	1	weight	5000	5000	nav	4_4	239	herstellen	0.24120301402480482	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.08877858461071801	-0.16596857908281296	NA	NA	nobound	441	all	5_5	1	weight	5000	5000	all	4_4	239	herstellen	0.2610063479048645	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.032460966181858716	-0.0525123183306992	NA	NA	nobound	441	all	5_5	1	weight	FOC	219	nav	4_4	239	herstellen	0.23803468137942915	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.034501142936950384	-0.038472991415460595	NA	NA	nobound	441	all	5_5	1	weight	FOC	441	all	4_4	239	herstellen	0.23604642866924333	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.1342850072555652	0.21159309140084098	NA	NA	nobound	441	all	5_5	1	selection	5000	5000	nav	4_4	239	herstellen	0.26227652672798585	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.251199771282928	0.2888549916394026	NA	NA	nobound	441	all	5_5	1	selection	5000	5000	all	4_4	239	herstellen	0.2622992274760703	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.016108111154269005	0.14543069496885394	NA	NA	nobound	441	all	5_5	1	selection	FOC	219	nav	4_4	239	herstellen	0.2579664236781816	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.008921398904830609	0.15392498878487446	NA	NA	nobound	441	all	5_5	1	selection	FOC	441	all	4_4	239	herstellen	0.2474621408670307	BOW
