_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-2.050737573485792	-0.6382612550092651	1	5000	5000	307	hoop	NA	NA	nobound	525	lex	10_10	selection	all	4_4	0.20853463562467836	BOW
hoop.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-2.056160446259083	0.264472173338662	1	FOC	393	307	hoop	NA	NA	nobound	525	lex	10_10	selection	nav	4_4	0.2679716213622876	BOW
hoop.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.9977793091232965	0.20252139606869918	1	FOC	525	307	hoop	NA	NA	nobound	525	lex	10_10	selection	all	4_4	0.2676032381483507	BOW
hoop.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-2.524370498670643	-0.6588709974623839	1	5000	5000	312	hoop	NA	NA	nobound	1368	lex	10_10	no	nav	4_4	0.23613521477137178	BOW
hoop.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.4233691361300775	-1.7893380211882401	1	5000	5000	312	hoop	NA	NA	nobound	1368	lex	10_10	no	all	4_4	0.22209104861196516	BOW
hoop.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-2.449241781972483	-0.6166877564315041	1	FOC	1044	312	hoop	NA	NA	nobound	1368	lex	10_10	no	nav	4_4	0.21767682981352113	BOW
hoop.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-2.416042061999256	-0.6131662140262772	1	FOC	1368	312	hoop	NA	NA	nobound	1368	lex	10_10	no	all	4_4	0.20805002441813933	BOW
hoop.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.02898108429004777	-0.9311019021329117	1	5000	5000	312	hoop	NA	NA	nobound	698	all	10_10	weight	nav	4_4	0.2275574488347859	BOW
hoop.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.36280449771312034	-1.213195538576938	1	5000	5000	312	hoop	NA	NA	nobound	698	all	10_10	weight	all	4_4	0.21777878780927473	BOW
hoop.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.38838072393427875	-0.44090599509852085	1	FOC	393	312	hoop	NA	NA	nobound	698	all	10_10	weight	nav	4_4	0.24292289046949844	BOW
hoop.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.38605957163922144	-0.4180496649760182	1	FOC	698	312	hoop	NA	NA	nobound	698	all	10_10	weight	all	4_4	0.2262033128735092	BOW
hoop.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.19615168304836061	-1.438922275651903	1	5000	5000	312	hoop	NA	NA	nobound	698	all	10_10	selection	nav	4_4	0.24615619060927998	BOW
hoop.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.6012254153501675	-1.8832578288387551	1	5000	5000	312	hoop	NA	NA	nobound	698	all	10_10	selection	all	4_4	0.2384385365169346	BOW
hoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.34559696065159984	-1.100059980389216	1	FOC	393	312	hoop	NA	NA	nobound	698	all	10_10	selection	nav	4_4	0.26046673556008365	BOW
hoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.3684823410031743	-1.0633990467130432	1	FOC	698	312	hoop	NA	NA	nobound	698	all	10_10	selection	all	4_4	0.23316097890704965	BOW
hoop.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.4694832459857575	-1.993781039030732	1	5000	5000	312	hoop	NA	NA	nobound	1832	all	10_10	no	nav	4_4	0.2261276103301044	BOW
hoop.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.010733181418646036	-2.7477153928080105	1	5000	5000	312	hoop	NA	NA	nobound	1832	all	10_10	no	all	4_4	0.2143853594082117	BOW
hoop.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.716397401013321	-1.830738465052774	1	FOC	1044	312	hoop	NA	NA	nobound	1832	all	10_10	no	nav	4_4	0.21126551865230062	BOW
hoop.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.72692543674407	-1.8513959080120046	1	FOC	1832	312	hoop	NA	NA	nobound	1832	all	10_10	no	all	4_4	0.1941830404278965	BOW
