_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.5000.3	-0.31856608685344534	0.0977953775562814	3	nvj	FALSE	s	5000	812	5_5	10_10	238	church_nocomp	ppmi	0.29710072163423906
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.10000.2	-0.28592593860021387	0.1730875171597451	2	nvj	FALSE	s	10000	812	5_5	10_10	246	church_nocomp	ppmi	0.29590502493072174
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.10000.3	-0.3137845811499211	0.1381121801833412	3	nvj	FALSE	s	10000	812	5_5	10_10	238	church_nocomp	ppmi	0.296478365155222
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.focc.2	-0.2974916208247872	0.1711059035461318	2	nvj	FALSE	s	focc	812	5_5	10_10	246	church_nocomp	ppmi	0.29626990661004554
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.focc.3	-0.28380251043252114	0.07263556183229905	3	nvj	FALSE	s	focc	812	5_5	10_10	238	church_nocomp	ppmi	0.2962567599741943
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.5000.2	0.15001262738465795	-0.2534961046039712	2	nvj	FALSE	s	5000	5000	5_5	5_5	246	church_nocomp	noweight	0.2564931000448902
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.5000.3	0.14174777759710705	-0.2393447005011743	3	nvj	FALSE	s	5000	5000	5_5	5_5	229	church_nocomp	noweight	0.26023680236010927
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.10000.2	0.20180962022468552	-0.25081255937235647	2	nvj	FALSE	s	10000	10000	5_5	5_5	246	church_nocomp	noweight	0.24948042588751645
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.10000.3	0.1533109850328056	-0.26467291244995983	3	nvj	FALSE	s	10000	10000	5_5	5_5	229	church_nocomp	noweight	0.25354243350786965
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.focc.2	0.2873887216534654	-0.24813943300688104	2	nvj	FALSE	s	focc	31447	5_5	5_5	246	church_nocomp	noweight	0.243142497438089
church_nocomp.5_5.nvj.noweight.nobound.s.5_5.focc.3	0.20137924077119146	-0.24781445898914348	3	nvj	FALSE	s	focc	31447	5_5	5_5	229	church_nocomp	noweight	0.24846405147663855
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.5000.2	0.10487888230606898	0.09978769876185448	2	nvj	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2614269117797174
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.5000.3	0.10566312549880894	0.09972391632402774	3	nvj	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.26172346097305876
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.10000.2	0.22202768354330932	-0.00478873199713427	2	nvj	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26238234945144473
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.10000.3	0.22645196721876995	-0.0020316968130466477	3	nvj	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26182341215808547
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.focc.2	0.5039743282983467	-0.101404570148411	2	nvj	FALSE	s	focc	31447	5_5	10_10	249	church_nocomp	noweight	0.246390076907736
church_nocomp.10_10.nvj.noweight.nobound.s.5_5.focc.3	0.4877561772709248	-0.10783623344527181	3	nvj	FALSE	s	focc	31447	5_5	10_10	249	church_nocomp	noweight	0.2451807546901215
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.5000.2	-0.2175685216216452	0.1883158271087259	2	nvjid	FALSE	s	5000	843	5_5	5_5	247	church_nocomp	ppmi	0.2944822734544553
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.5000.3	-0.2120822984183906	0.1866384944049979	3	nvjid	FALSE	s	5000	843	5_5	5_5	236	church_nocomp	ppmi	0.29587004644871473
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.10000.2	-0.2214151189806311	0.18518856935936784	2	nvjid	FALSE	s	10000	843	5_5	5_5	247	church_nocomp	ppmi	0.29500809056496113
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.10000.3	-0.23034454265912027	0.20736786173027635	3	nvjid	FALSE	s	10000	843	5_5	5_5	236	church_nocomp	ppmi	0.2954451167719252
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.focc.2	-0.2946240833722694	0.317970749466611	2	nvjid	FALSE	s	focc	843	5_5	5_5	247	church_nocomp	ppmi	0.29600564989938316
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.focc.3	-0.2352407836132354	0.19372359980525794	3	nvjid	FALSE	s	focc	843	5_5	5_5	236	church_nocomp	ppmi	0.29536751881584394
