_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.5000.2	-0.15785541161119593	0.03162798397722119	2	none	False	Semcor	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.2414103122210152
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.10000.2	-0.2237751983545542	0.028808569687983288	2	none	False	Semcor	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.2487595976836564
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.focc.2	-0.4604534343873282	0.0029759617757746755	2	none	False	Semcor	focc	34786	10_10	5_5	249	church_nocomp	noweight	0.26518950072996605
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.5000.3	-0.2277036579888208	0.00710827004597863	3	none	False	Semcor	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24530697343038874
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.10000.3	-0.3466931650740121	-0.018116146653460882	3	none	False	Semcor	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24936708691866474
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.focc.3	-0.5558209024868749	0.011990687146553627	3	none	False	Semcor	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.5000.3	-0.16164946093344865	0.007429695724658253	3	none	False	Semcor	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.2435036055971941
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.10000.3	-0.2776898722322158	0.008074914457355966	3	none	False	Semcor	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.2456797178728923
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.focc.3	-0.4604534343873282	0.0029759617757746755	3	none	False	Semcor	focc	34786	10_10	5_5	249	church_nocomp	noweight	0.26518950072996605
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.5000.2	0.2989825985707825	-0.08415621696952186	2	nvj	False	COHA	5000	5000	5_5	10_10	227	church_nocomp	ppmi	0.24166550538687168
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.10000.2	0.27221044027374297	-0.10440320110128501	2	nvj	False	COHA	10000	10000	5_5	10_10	227	church_nocomp	ppmi	0.24465839062405909
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.focc.2	0.26983735348741644	-0.12278946354460905	2	nvj	False	COHA	focc	4210	5_5	10_10	227	church_nocomp	ppmi	0.2507672420969192
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.5000.2	0.2769787001515306	-0.12925694343893798	2	nvj	False	COHA	5000	5000	10_10	10_10	227	church_nocomp	ppmi	0.22696121244512418
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.10000.2	0.26932687559546836	-0.1363895469668358	2	nvj	False	COHA	10000	10000	10_10	10_10	227	church_nocomp	ppmi	0.2338289983607971
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.focc.2	0.2964843304983683	-0.13643996240181852	2	nvj	False	COHA	focc	4210	10_10	10_10	227	church_nocomp	ppmi	0.24417455683104933
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.5000.3	0.29354303121723996	-0.10863540096950233	3	nvj	False	COHA	5000	5000	5_5	10_10	189	church_nocomp	ppmi	0.23679536082873173
