_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.767012686035402	-0.2892234787908391	NA	NA	BOW	nobound	484	lex	5_5	1	selection	FOC	484	all	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2527711641299992	-0.25111400810260737	NA	NA	BOW	nobound	749	lex	5_5	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	1.686311563509468	-1.223790528514268	NA	NA	BOW	nobound	749	lex	5_5	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9877608361290656	-0.40395392814267245	NA	NA	BOW	nobound	749	lex	5_5	1	no	FOC	570	nav	4_4	303	goedkoop
goedkoop.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9824947129087068	-0.380559987342193	NA	NA	BOW	nobound	749	lex	5_5	1	no	FOC	749	all	4_4	303	goedkoop
goedkoop.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.2812444335094907	0.035736350136564024	NA	NA	BOW	nobound	600	all	5_5	1	weight	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	1.4898173178139917	-0.3101714153939184	NA	NA	BOW	nobound	600	all	5_5	1	weight	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3512525458320177	-0.20562520158011036	NA	NA	BOW	nobound	600	all	5_5	1	weight	FOC	355	nav	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.2958405430420495	-0.20582108151596645	NA	NA	BOW	nobound	600	all	5_5	1	weight	FOC	600	all	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	-1.370827394283171	0.1366748565850411	NA	NA	BOW	nobound	600	all	5_5	1	selection	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	1.5312885731734889	-0.36156225309604045	NA	NA	BOW	nobound	600	all	5_5	1	selection	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7575549701646963	-0.1423697987605888	NA	NA	BOW	nobound	600	all	5_5	1	selection	FOC	355	nav	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.7196591684579225	-0.15979563951417314	NA	NA	BOW	nobound	600	all	5_5	1	selection	FOC	600	all	4_4	302	goedkoop
goedkoop.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	-1.7915601037338735	-0.12867485807782703	NA	NA	BOW	nobound	984	all	5_5	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	2.1870079727969784	-0.7659829426963272	NA	NA	BOW	nobound	984	all	5_5	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-1.2391286483472292	-0.31801881861541964	NA	NA	BOW	nobound	984	all	5_5	1	no	FOC	570	nav	4_4	303	goedkoop
goedkoop.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-1.230553756431836	-0.3835161870492804	NA	NA	BOW	nobound	984	all	5_5	1	no	FOC	984	all	4_4	303	goedkoop
goedkoop.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8218325206802904	0.7514503888754274	NA	NA	BOW	nobound	341	lex	3_3	1	weight	5000	5000	nav	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	1.3444678507947274	0.295639285806528	NA	NA	BOW	nobound	341	lex	3_3	1	weight	5000	5000	all	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8360418216493352	0.7217889332319102	NA	NA	BOW	nobound	341	lex	3_3	1	weight	FOC	255	nav	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8003990521930607	0.719195621402961	NA	NA	BOW	nobound	341	lex	3_3	1	weight	FOC	341	all	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.0010602659454364	0.7702615397756583	NA	NA	BOW	nobound	341	lex	3_3	1	selection	5000	5000	nav	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	1.2782064739783496	0.22951308917254845	NA	NA	BOW	nobound	341	lex	3_3	1	selection	5000	5000	all	4_4	290	goedkoop
goedkoop.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8857972137829253	0.6662819948180183	NA	NA	BOW	nobound	341	lex	3_3	1	selection	FOC	255	nav	4_4	290	goedkoop
