_model	model.x	model.y	medoid_k9	medoid_k3	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	medoid_newk3
destroy.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	1.25071631887942	-0.541875101761571	not_medoid	not_medoid	NA	group2	LEMMAREL	bound	508	NA	NA	1	weight	FOC	294	nav	4_4	475	destroy	FALSE
destroy.LEMMARELagent.PPMIno.LENGTH5000.SOCPOSnav	0.40262473520485	-0.180867342124139	not_medoid	not_medoid	NA	groupagent	LEMMAREL	bound	111	NA	NA	1	no	5000	5000	nav	4_4	213	destroy	FALSE
destroy.LEMMARELagent.PPMIno.LENGTHFOC.SOCPOSnav	0.398539088329546	-0.288474715504811	not_medoid	not_medoid	NA	groupagent	LEMMAREL	bound	111	NA	NA	1	no	FOC	62	nav	4_4	213	destroy	FALSE
destroy.LEMMARELagent.PPMIselection.LENGTH5000.SOCPOSnav	0.336328513242207	-0.125692891752991	not_medoid	not_medoid	NA	groupagent	LEMMAREL	bound	90	NA	NA	1	selection	5000	5000	nav	4_4	182	destroy	FALSE
destroy.LEMMARELagent.PPMIselection.LENGTHFOC.SOCPOSnav	0.331368818049034	-0.202331491322531	not_medoid	not_medoid	NA	groupagent	LEMMAREL	bound	90	NA	NA	1	selection	FOC	53	nav	4_4	182	destroy	TRUE
destroy.LEMMARELagent.PPMIweight.LENGTH5000.SOCPOSnav	0.294015376136241	-0.101429524680048	not_medoid	not_medoid	NA	groupagent	LEMMAREL	bound	90	NA	NA	1	weight	5000	5000	nav	4_4	182	destroy	FALSE
destroy.LEMMARELagent.PPMIweight.LENGTHFOC.SOCPOSnav	0.30264717193401097	-0.170382592517012	medoid	not_medoid	NA	groupagent	LEMMAREL	bound	90	NA	NA	1	weight	FOC	53	nav	4_4	182	destroy	FALSE
destroy.LEMMARELboth.PPMIno.LENGTH5000.SOCPOSnav	0.670881943037101	-0.690908084695021	not_medoid	medoid	NA	groupboth	LEMMAREL	bound	293	NA	NA	1	no	5000	5000	nav	4_4	331	destroy	FALSE
destroy.LEMMARELboth.PPMIno.LENGTHFOC.SOCPOSnav	0.470348517827784	-0.651215516708502	not_medoid	not_medoid	NA	groupboth	LEMMAREL	bound	293	NA	NA	1	no	FOC	176	nav	4_4	331	destroy	FALSE
destroy.LEMMARELboth.PPMIselection.LENGTH5000.SOCPOSnav	0.610616730841358	-0.469711645133153	not_medoid	not_medoid	NA	groupboth	LEMMAREL	bound	259	NA	NA	1	selection	5000	5000	nav	4_4	319	destroy	FALSE
destroy.LEMMARELboth.PPMIselection.LENGTHFOC.SOCPOSnav	0.438982924481261	-0.465242806914914	not_medoid	not_medoid	NA	groupboth	LEMMAREL	bound	259	NA	NA	1	selection	FOC	160	nav	4_4	319	destroy	FALSE
destroy.LEMMARELboth.PPMIweight.LENGTH5000.SOCPOSnav	0.519014184366256	-0.329756553047289	not_medoid	not_medoid	NA	groupboth	LEMMAREL	bound	259	NA	NA	1	weight	5000	5000	nav	4_4	319	destroy	FALSE
destroy.LEMMARELboth.PPMIweight.LENGTHFOC.SOCPOSnav	0.393474804692496	-0.425156208212587	not_medoid	not_medoid	NA	groupboth	LEMMAREL	bound	259	NA	NA	1	weight	FOC	160	nav	4_4	319	destroy	FALSE
destroy.LEMMARELpatient.PPMIno.LENGTH5000.SOCPOSnav	0.517270938818895	-0.783689308354216	not_medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	189	NA	NA	1	no	5000	5000	nav	4_4	293	destroy	FALSE
destroy.LEMMARELpatient.PPMIno.LENGTHFOC.SOCPOSnav	0.505757431139231	-1.0958199241326	not_medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	189	NA	NA	1	no	FOC	116	nav	4_4	293	destroy	FALSE
destroy.LEMMARELpatient.PPMIselection.LENGTH5000.SOCPOSnav	0.487559510522367	-0.574093968555274	not_medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	175	NA	NA	1	selection	5000	5000	nav	4_4	279	destroy	FALSE
destroy.LEMMARELpatient.PPMIselection.LENGTHFOC.SOCPOSnav	0.48203639198688	-0.905386468178474	not_medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	175	NA	NA	1	selection	FOC	108	nav	4_4	279	destroy	FALSE
destroy.LEMMARELpatient.PPMIweight.LENGTH5000.SOCPOSnav	0.466925915094726	-0.545294055242123	medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	175	NA	NA	1	weight	5000	5000	nav	4_4	279	destroy	TRUE
destroy.LEMMARELpatient.PPMIweight.LENGTHFOC.SOCPOSnav	0.443406028448622	-0.841089386300088	not_medoid	not_medoid	NA	grouppatient	LEMMAREL	bound	175	NA	NA	1	weight	FOC	108	nav	4_4	279	destroy	TRUE
